,Case Number,Date,Type,Country,Area,Activity,Injury,Fatal (Y/N)
0,2016.09.18.c,18-Sep-16,Unprovoked,USA,Florida,Surfing,Minor injury to thigh,N
1,2016.09.18.b,18-Sep-16,Unprovoked,USA,Florida,Surfing,Lacerations to hands,N
2,2016.09.18.a,18-Sep-16,Unprovoked,USA,Florida,Surfing,Lacerations to lower leg,N
3,2016.09.17,17-Sep-16,Unprovoked,AUSTRALIA,Victoria,Surfing,Struck by fin on chest & leg,N
4,2016.09.15,16-Sep-16,Unprovoked,AUSTRALIA,Victoria,Surfing,No injury: Knocked off board by shark,N
5,2016.09.15.R,15-Sep-16,Boat,AUSTRALIA,Western Australia,Fishing,Shark rammed boat. No injury to occupant,N
6,2016.09.11,11-Sep-16,Unprovoked,USA,Florida,Wading,Minor injury to arm,N
7,2016.09.07,07-Sep-16,Unprovoked,USA,Hawaii,Swimming,Severe lacerations to shoulder & forearm,N
8,2016.09.06,06-Sep-16,Unprovoked,NEW CALEDONIA,North Province,Kite surfing,FATAL,Y
9,2016.09.05.b,05-Sep-16,Unprovoked,USA,South Carolina,Boogie boarding,Lacerations & punctures to lower right leg,N
10,2016.09.05.a,05-Sep-16,Unprovoked,AUSTRALIA,Western Australia,Surfing,"No inury, board broken in half by shark",N
11,2016.09.04,04-Sep-16,Unprovoked,USA,Florida,Body boarding,Foot bitten,N
12,2016.09.01,01-Sep-16,Unprovoked,USA,California,Spearfishing,Two toes broken & lacerated,N
13,2016.08.29.b,29-Aug-16,Unprovoked,USA,Florida,Surfing,Lacerations to right foot,N
14,2016.08.29.a,29-Aug-16,Unprovoked,USA,Florida,Surfing,Minor injury to ankle,N
15,2016.08.27,27-Aug-16,Unprovoked,REUNION,,Surfing,"Right arm severed, ankle severely bitten ",N
16,2016.08.25,25-Aug-16,Unprovoked,USA,Florida,Wading,Minor injury to ankle,N
17,2016.08.07,07-Aug-16,Unprovoked,BAHAMAS,New Providence Island,Snorkeling,Lacerations to left leg,N
18,2016.08.06,06-Aug-16,Unprovoked,USA,Hawaii,SUP Foil boarding,"No inury, shark & board collided",N
19,2016.08.04,04-Aug-16,Unprovoked,USA,Florida,Surfing,Big toe bitten,N
